island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year,species
Biscoe,99.100 ,78.700 ,241.000 ,3810.000 ,male,2008,Adelie
Biscoe,100.100 ,79.700 ,242.000 ,3811.000 ,female,2008,Adelie
Biscoe,101.100 ,80.700 ,243.000 ,3812.000 ,male,2008,Adelie
Biscoe,102.100 ,81.700 ,244.000 ,3813.000 ,female,2008,Adelie
Biscoe,103.100 ,82.700 ,245.000 ,3814.000 ,male,2008,Adelie
Biscoe,104.100 ,83.700 ,246.000 ,3815.000 ,female,2008,Adelie
Biscoe,105.100 ,84.700 ,247.000 ,3816.000 ,male,2008,Adelie
Torgersen,106.100 ,85.700 ,248.000 ,3817.000 ,female,2008,Adelie
Torgersen,107.100 ,86.700 ,249.000 ,3818.000 ,male,2008,Adelie
Torgersen,108.100 ,87.700 ,250.000 ,3819.000 ,female,2008,Adelie
Torgersen,109.100 ,88.700 ,251.000 ,3820.000 ,male,2008,Adelie
Torgersen,110.100 ,89.700 ,252.000 ,3821.000 ,female,2008,Adelie
Torgersen,111.100 ,90.700 ,253.000 ,3822.000 ,male,2008,Adelie
Torgersen,112.100 ,91.700 ,254.000 ,3823.000 ,female,2008,Adelie
Torgersen,113.100 ,92.700 ,255.000 ,3824.000 ,male,2008,Adelie
Torgersen,114.100 ,93.700 ,256.000 ,3825.000 ,female,2008,Adelie
Torgersen,115.100 ,94.700 ,257.000 ,3826.000 ,male,2008,Adelie
Torgersen,116.100 ,95.700 ,258.000 ,3827.000 ,female,2008,Adelie
Torgersen,117.100 ,96.700 ,259.000 ,3828.000 ,male,2008,Adelie
Torgersen,118.100 ,97.700 ,260.000 ,3829.000 ,female,2008,Adelie
Torgersen,119.100 ,98.700 ,261.000 ,3830.000 ,male,2008,Adelie
Torgersen,120.100 ,99.700 ,262.000 ,3831.000 ,female,2008,Adelie
Torgersen,121.100 ,100.700 ,263.000 ,3832.000 ,male,2008,Adelie
Dream,122.100 ,101.700 ,264.000 ,3833.000 ,female,2008,Adelie
Dream,123.100 ,102.700 ,265.000 ,3834.000 ,male,2008,Adelie
Dream,124.100 ,103.700 ,266.000 ,3835.000 ,male,2008,Adelie
Dream,125.100 ,104.700 ,267.000 ,3836.000 ,female,2008,Adelie
Dream,126.100 ,105.700 ,268.000 ,3837.000 ,male,2008,Adelie
Dream,127.100 ,106.700 ,269.000 ,3838.000 ,female,2008,Adelie
Dream,128.100 ,107.700 ,270.000 ,3839.000 ,female,2008,Adelie
Dream,129.100 ,108.700 ,271.000 ,3840.000 ,male,2008,Adelie
Dream,130.100 ,109.700 ,272.000 ,3841.000 ,female,2008,Adelie
Dream,131.100 ,110.700 ,273.000 ,3842.000 ,male,2008,Adelie
Dream,132.100 ,111.700 ,274.000 ,3843.000 ,female,2008,Adelie
Dream,133.100 ,112.700 ,275.000 ,3844.000 ,male,2008,Adelie
Dream,134.100 ,113.700 ,276.000 ,3845.000 ,female,2008,Adelie
Dream,135.100 ,114.700 ,277.000 ,3846.000 ,male,2008,Adelie
Dream,136.100 ,115.700 ,278.000 ,3847.000 ,female,2008,Adelie
Dream,137.100 ,116.700 ,279.000 ,3848.000 ,male,2008,Adelie
Biscoe,138.100 ,117.700 ,280.000 ,3849.000 ,female,2009,Adelie
Biscoe,139.100 ,118.700 ,281.000 ,3850.000 ,male,2009,Adelie
Biscoe,140.100 ,119.700 ,282.000 ,3851.000 ,female,2009,Adelie
Biscoe,141.100 ,120.700 ,283.000 ,3852.000 ,male,2009,Adelie
Biscoe,142.100 ,121.700 ,284.000 ,3853.000 ,female,2009,Adelie
Biscoe,143.100 ,122.700 ,285.000 ,3854.000 ,male,2009,Adelie
Biscoe,144.100 ,123.700 ,286.000 ,3855.000 ,female,2009,Adelie
Biscoe,145.100 ,124.700 ,287.000 ,3856.000 ,male,2009,Adelie
Biscoe,146.100 ,125.700 ,288.000 ,3857.000 ,female,2009,Adelie
Biscoe,147.100 ,126.700 ,289.000 ,3858.000 ,male,2009,Adelie
Biscoe,148.100 ,127.700 ,290.000 ,3859.000 ,female,2009,Adelie
Biscoe,149.100 ,128.700 ,291.000 ,3860.000 ,male,2009,Adelie
Biscoe,150.100 ,129.700 ,292.000 ,3861.000 ,female,2009,Adelie
Biscoe,151.100 ,130.700 ,293.000 ,3862.000 ,male,2009,Adelie
Biscoe,152.100 ,131.700 ,294.000 ,3863.000 ,female,2009,Adelie
Biscoe,153.100 ,132.700 ,295.000 ,3864.000 ,male,2009,Adelie
Torgersen,154.100 ,133.700 ,296.000 ,3865.000 ,female,2009,Adelie
Torgersen,155.100 ,134.700 ,297.000 ,3866.000 ,male,2009,Adelie
Torgersen,156.100 ,135.700 ,298.000 ,3867.000 ,female,2009,Adelie
Torgersen,157.100 ,136.700 ,299.000 ,3868.000 ,male,2009,Adelie
Torgersen,158.100 ,137.700 ,300.000 ,3869.000 ,female,2009,Adelie
Torgersen,159.100 ,138.700 ,301.000 ,3870.000 ,male,2009,Adelie
Torgersen,160.100 ,139.700 ,302.000 ,3871.000 ,female,2009,Adelie
Torgersen,161.100 ,140.700 ,303.000 ,3872.000 ,male,2009,Adelie
Torgersen,162.100 ,141.700 ,304.000 ,3873.000 ,female,2009,Adelie
Torgersen,163.100 ,142.700 ,305.000 ,3874.000 ,male,2009,Adelie
Torgersen,164.100 ,143.700 ,306.000 ,3875.000 ,female,2009,Adelie
Torgersen,165.100 ,144.700 ,307.000 ,3876.000 ,male,2009,Adelie
Torgersen,166.100 ,145.700 ,308.000 ,3877.000 ,female,2009,Adelie
Torgersen,167.100 ,146.700 ,309.000 ,3878.000 ,male,2009,Adelie
Torgersen,168.100 ,147.700 ,310.000 ,3879.000 ,female,2009,Adelie
Torgersen,169.100 ,148.700 ,311.000 ,3880.000 ,male,2009,Adelie
Dream,170.100 ,149.700 ,312.000 ,3881.000 ,female,2009,Adelie
Dream,171.100 ,150.700 ,313.000 ,3882.000 ,male,2009,Adelie
Dream,172.100 ,151.700 ,314.000 ,3883.000 ,female,2009,Adelie
Dream,173.100 ,152.700 ,315.000 ,3884.000 ,male,2009,Adelie
Dream,174.100 ,153.700 ,316.000 ,3885.000 ,female,2009,Adelie
Dream,175.100 ,154.700 ,317.000 ,3886.000 ,male,2009,Adelie
Dream,176.100 ,155.700 ,318.000 ,3887.000 ,female,2009,Adelie
Dream,177.100 ,156.700 ,319.000 ,3888.000 ,male,2009,Adelie
Dream,178.100 ,157.700 ,320.000 ,3889.000 ,female,2009,Adelie
Dream,179.100 ,158.700 ,321.000 ,3890.000 ,male,2009,Adelie
Dream,180.100 ,159.700 ,322.000 ,3891.000 ,female,2009,Adelie
Dream,181.100 ,160.700 ,323.000 ,3892.000 ,male,2009,Adelie
Dream,182.100 ,161.700 ,324.000 ,3893.000 ,female,2009,Adelie
Dream,183.100 ,162.700 ,325.000 ,3894.000 ,male,2009,Adelie
Dream,184.100 ,163.700 ,326.000 ,3895.000 ,male,2009,Adelie
Dream,185.100 ,164.700 ,327.000 ,3896.000 ,female,2009,Adelie
Dream,186.100 ,165.700 ,328.000 ,3897.000 ,female,2009,Adelie
Dream,187.100 ,166.700 ,329.000 ,3898.000 ,male,2009,Adelie
Dream,188.100 ,167.700 ,330.000 ,3899.000 ,female,2009,Adelie
Dream,189.100 ,168.700 ,331.000 ,3900.000 ,male,2009,Adelie
Biscoe,190.100 ,169.700 ,332.000 ,3901.000 ,female,2007,Gentoo
Biscoe,191.100 ,170.700 ,333.000 ,3902.000 ,male,2007,Gentoo
Biscoe,192.100 ,171.700 ,334.000 ,3903.000 ,female,2007,Gentoo
Biscoe,193.100 ,172.700 ,335.000 ,3904.000 ,male,2007,Gentoo
Biscoe,194.100 ,173.700 ,336.000 ,3905.000 ,male,2007,Gentoo
Biscoe,195.100 ,174.700 ,337.000 ,3906.000 ,female,2007,Gentoo
Biscoe,196.100 ,175.700 ,338.000 ,3907.000 ,female,2007,Gentoo
Biscoe,197.100 ,176.700 ,339.000 ,3908.000 ,male,2007,Gentoo
Biscoe,198.100 ,177.700 ,340.000 ,3909.000 ,female,2007,Gentoo
Biscoe,199.100 ,178.700 ,341.000 ,3910.000 ,male,2007,Gentoo
Biscoe,200.100 ,179.700 ,342.000 ,3911.000 ,female,2007,Gentoo
Biscoe,201.100 ,180.700 ,343.000 ,3912.000 ,male,2007,Gentoo
Biscoe,202.100 ,181.700 ,344.000 ,3913.000 ,female,2007,Gentoo
Biscoe,203.100 ,182.700 ,345.000 ,3914.000 ,male,2007,Gentoo
Biscoe,204.100 ,183.700 ,346.000 ,3915.000 ,female,2007,Gentoo
Biscoe,205.100 ,184.700 ,347.000 ,3916.000 ,male,2007,Gentoo
Biscoe,206.100 ,185.700 ,348.000 ,3917.000 ,female,2007,Gentoo
Biscoe,207.100 ,186.700 ,349.000 ,3918.000 ,male,2007,Gentoo
Biscoe,208.100 ,187.700 ,350.000 ,3919.000 ,female,2007,Gentoo
Biscoe,209.100 ,188.700 ,351.000 ,3920.000 ,male,2007,Gentoo
Biscoe,210.100 ,189.700 ,352.000 ,3921.000 ,male,2007,Gentoo
Biscoe,211.100 ,190.700 ,353.000 ,3922.000 ,female,2007,Gentoo
Biscoe,212.100 ,191.700 ,354.000 ,3923.000 ,female,2007,Gentoo
Biscoe,213.100 ,192.700 ,355.000 ,3924.000 ,male,2007,Gentoo
Biscoe,214.100 ,193.700 ,356.000 ,3925.000 ,female,2007,Gentoo
Biscoe,215.100 ,194.700 ,357.000 ,3926.000 ,male,2007,Gentoo
Biscoe,216.100 ,195.700 ,358.000 ,3927.000 ,NA,2007,Gentoo
Biscoe,217.100 ,196.700 ,359.000 ,3928.000 ,male,2007,Gentoo
Biscoe,218.100 ,197.700 ,360.000 ,3929.000 ,female,2007,Gentoo
Biscoe,219.100 ,198.700 ,361.000 ,3930.000 ,male,2007,Gentoo
Biscoe,220.100 ,199.700 ,362.000 ,3931.000 ,male,2007,Gentoo
Biscoe,221.100 ,200.700 ,363.000 ,3932.000 ,female,2007,Gentoo
Biscoe,222.100 ,201.700 ,364.000 ,3933.000 ,female,2007,Gentoo
Biscoe,223.100 ,202.700 ,365.000 ,3934.000 ,male,2007,Gentoo
Biscoe,224.100 ,203.700 ,366.000 ,3935.000 ,female,2008,Gentoo
Biscoe,225.100 ,204.700 ,367.000 ,3936.000 ,male,2008,Gentoo
Biscoe,226.100 ,205.700 ,368.000 ,3937.000 ,female,2008,Gentoo
Biscoe,227.100 ,206.700 ,369.000 ,3938.000 ,male,2008,Gentoo
Biscoe,228.100 ,207.700 ,370.000 ,3939.000 ,female,2008,Gentoo
Biscoe,229.100 ,208.700 ,371.000 ,3940.000 ,male,2008,Gentoo
Biscoe,230.100 ,209.700 ,372.000 ,3941.000 ,female,2008,Gentoo
Biscoe,231.100 ,210.700 ,373.000 ,3942.000 ,male,2008,Gentoo
Biscoe,232.100 ,211.700 ,374.000 ,3943.000 ,female,2008,Gentoo
Biscoe,233.100 ,212.700 ,375.000 ,3944.000 ,male,2008,Gentoo
Biscoe,234.100 ,213.700 ,376.000 ,3945.000 ,male,2008,Gentoo
Biscoe,235.100 ,214.700 ,377.000 ,3946.000 ,female,2008,Gentoo
Biscoe,236.100 ,215.700 ,378.000 ,3947.000 ,female,2008,Gentoo
Biscoe,237.100 ,216.700 ,379.000 ,3948.000 ,male,2008,Gentoo
Biscoe,238.100 ,217.700 ,380.000 ,3949.000 ,female,2008,Gentoo
Biscoe,239.100 ,218.700 ,381.000 ,3950.000 ,male,2008,Gentoo
Biscoe,240.100 ,219.700 ,382.000 ,3951.000 ,female,2008,Gentoo
Biscoe,241.100 ,220.700 ,383.000 ,3952.000 ,male,2008,Gentoo
Biscoe,242.100 ,221.700 ,384.000 ,3953.000 ,female,2008,Gentoo
Biscoe,243.100 ,222.700 ,385.000 ,3954.000 ,male,2008,Gentoo
Biscoe,244.100 ,223.700 ,386.000 ,3955.000 ,female,2008,Gentoo
Biscoe,245.100 ,224.700 ,387.000 ,3956.000 ,male,2008,Gentoo
Biscoe,246.100 ,225.700 ,388.000 ,3957.000 ,female,2008,Gentoo
Biscoe,247.100 ,226.700 ,389.000 ,3958.000 ,male,2008,Gentoo
Biscoe,248.100 ,227.700 ,390.000 ,3959.000 ,female,2008,Gentoo
Biscoe,249.100 ,228.700 ,391.000 ,3960.000 ,male,2008,Gentoo
Biscoe,250.100 ,229.700 ,392.000 ,3961.000 ,female,2008,Gentoo
Biscoe,251.100 ,230.700 ,393.000 ,3962.000 ,male,2008,Gentoo
Biscoe,252.100 ,231.700 ,394.000 ,3963.000 ,female,2008,Gentoo
Biscoe,253.100 ,232.700 ,395.000 ,3964.000 ,male,2008,Gentoo
Biscoe,254.100 ,233.700 ,396.000 ,3965.000 ,female,2008,Gentoo
Biscoe,255.100 ,234.700 ,397.000 ,3966.000 ,male,2008,Gentoo
Biscoe,256.100 ,235.700 ,398.000 ,3967.000 ,NA,2008,Gentoo
Biscoe,257.100 ,236.700 ,399.000 ,3968.000 ,male,2008,Gentoo
Biscoe,258.100 ,237.700 ,400.000 ,3969.000 ,female,2008,Gentoo
Biscoe,259.100 ,238.700 ,401.000 ,3970.000 ,male,2008,Gentoo
Biscoe,260.100 ,239.700 ,402.000 ,3971.000 ,female,2008,Gentoo
Biscoe,261.100 ,240.700 ,403.000 ,3972.000 ,male,2008,Gentoo
Biscoe,262.100 ,241.700 ,404.000 ,3973.000 ,male,2008,Gentoo
Biscoe,263.100 ,242.700 ,405.000 ,3974.000 ,female,2008,Gentoo
Biscoe,264.100 ,243.700 ,406.000 ,3975.000 ,female,2008,Gentoo
Biscoe,265.100 ,244.700 ,407.000 ,3976.000 ,male,2008,Gentoo
Biscoe,266.100 ,245.700 ,408.000 ,3977.000 ,female,2008,Gentoo
Biscoe,267.100 ,246.700 ,409.000 ,3978.000 ,male,2008,Gentoo
Biscoe,268.100 ,247.700 ,410.000 ,3979.000 ,female,2008,Gentoo
Biscoe,269.100 ,248.700 ,411.000 ,3980.000 ,male,2008,Gentoo
Biscoe,270.100 ,249.700 ,412.000 ,3981.000 ,female,2009,Gentoo
Biscoe,271.100 ,250.700 ,413.000 ,3982.000 ,male,2009,Gentoo
Biscoe,272.100 ,251.700 ,414.000 ,3983.000 ,female,2009,Gentoo
Biscoe,273.100 ,252.700 ,415.000 ,3984.000 ,male,2009,Gentoo
Biscoe,274.100 ,253.700 ,416.000 ,3985.000 ,female,2009,Gentoo
Biscoe,275.100 ,254.700 ,417.000 ,3986.000 ,male,2009,Gentoo
Biscoe,276.100 ,255.700 ,418.000 ,3987.000 ,female,2009,Gentoo
Biscoe,277.100 ,256.700 ,419.000 ,3988.000 ,male,2009,Gentoo
Biscoe,278.100 ,257.700 ,420.000 ,3989.000 ,female,2009,Gentoo
Biscoe,279.100 ,258.700 ,421.000 ,3990.000 ,male,2009,Gentoo
Biscoe,280.100 ,259.700 ,422.000 ,3991.000 ,female,2009,Gentoo
Biscoe,281.100 ,260.700 ,423.000 ,3992.000 ,male,2009,Gentoo
Biscoe,282.100 ,261.700 ,424.000 ,3993.000 ,female,2009,Gentoo
Biscoe,283.100 ,262.700 ,425.000 ,3994.000 ,male,2009,Gentoo
Biscoe,284.100 ,263.700 ,426.000 ,3995.000 ,female,2009,Gentoo
Biscoe,285.100 ,264.700 ,427.000 ,3996.000 ,male,2009,Gentoo
Biscoe,286.100 ,265.700 ,428.000 ,3997.000 ,male,2009,Gentoo
Biscoe,287.100 ,266.700 ,429.000 ,3998.000 ,female,2009,Gentoo
Biscoe,288.100 ,267.700 ,430.000 ,3999.000 ,female,2009,Gentoo
Biscoe,289.100 ,268.700 ,431.000 ,4000.000 ,male,2009,Gentoo
Biscoe,290.100 ,269.700 ,432.000 ,4001.000 ,female,2009,Gentoo
Biscoe,291.100 ,270.700 ,433.000 ,4002.000 ,male,2009,Gentoo
Biscoe,292.100 ,271.700 ,434.000 ,4003.000 ,female,2009,Gentoo
Biscoe,293.100 ,272.700 ,435.000 ,4004.000 ,male,2009,Gentoo
Biscoe,294.100 ,273.700 ,436.000 ,4005.000 ,NA,2009,Gentoo
Biscoe,295.100 ,274.700 ,437.000 ,4006.000 ,male,2009,Gentoo
Biscoe,296.100 ,275.700 ,438.000 ,4007.000 ,female,2009,Gentoo
Biscoe,297.100 ,276.700 ,439.000 ,4008.000 ,male,2009,Gentoo
Biscoe,298.100 ,277.700 ,440.000 ,4009.000 ,female,2009,Gentoo
Biscoe,299.100 ,278.700 ,441.000 ,4010.000 ,male,2009,Gentoo
Biscoe,300.100 ,279.700 ,442.000 ,4011.000 ,female,2009,Gentoo
Biscoe,301.100 ,280.700 ,443.000 ,4012.000 ,male,2009,Gentoo
Biscoe,302.100 ,281.700 ,444.000 ,4013.000 ,female,2009,Gentoo
Biscoe,303.100 ,282.700 ,445.000 ,4014.000 ,male,2009,Gentoo
Biscoe,304.100 ,283.700 ,446.000 ,4015.000 ,female,2009,Gentoo
Biscoe,305.100 ,284.700 ,447.000 ,4016.000 ,male,2009,Gentoo
Biscoe,306.100 ,285.700 ,448.000 ,4017.000 ,NA,2009,Gentoo
Biscoe,307.100 ,286.700 ,449.000 ,4018.000 ,male,2009,Gentoo
Biscoe,308.100 ,287.700 ,450.000 ,4019.000 ,female,2009,Gentoo
Biscoe,309.100 ,288.700 ,451.000 ,4020.000 ,female,2009,Gentoo
Biscoe,310.100 ,289.700 ,452.000 ,4021.000 ,male,2009,Gentoo
Biscoe,311.100 ,290.700 ,453.000 ,4022.000 ,female,2009,Gentoo
Biscoe,312.100 ,291.700 ,454.000 ,4023.000 ,male,2009,Gentoo
Dream,313.100 ,292.700 ,455.000 ,4024.000 ,female,2007,Chinstrap
Dream,314.100 ,293.700 ,456.000 ,4025.000 ,male,2007,Chinstrap
Dream,315.100 ,294.700 ,457.000 ,4026.000 ,male,2007,Chinstrap
Dream,316.100 ,295.700 ,458.000 ,4027.000 ,female,2007,Chinstrap
Dream,317.100 ,296.700 ,459.000 ,4028.000 ,male,2007,Chinstrap
Dream,318.100 ,297.700 ,460.000 ,4029.000 ,female,2007,Chinstrap
Dream,319.100 ,298.700 ,461.000 ,4030.000 ,female,2007,Chinstrap
Dream,320.100 ,299.700 ,462.000 ,4031.000 ,male,2007,Chinstrap
Dream,321.100 ,300.700 ,463.000 ,4032.000 ,female,2007,Chinstrap
Dream,322.100 ,301.700 ,464.000 ,4033.000 ,male,2007,Chinstrap
Dream,323.100 ,302.700 ,465.000 ,4034.000 ,female,2007,Chinstrap
Dream,324.100 ,303.700 ,466.000 ,4035.000 ,male,2007,Chinstrap
Dream,325.100 ,304.700 ,467.000 ,4036.000 ,female,2007,Chinstrap
Dream,326.100 ,305.700 ,468.000 ,4037.000 ,male,2007,Chinstrap
Dream,327.100 ,306.700 ,469.000 ,4038.000 ,female,2007,Chinstrap
Dream,328.100 ,307.700 ,470.000 ,4039.000 ,male,2007,Chinstrap
Dream,329.100 ,308.700 ,471.000 ,4040.000 ,male,2007,Chinstrap
Dream,330.100 ,309.700 ,472.000 ,4041.000 ,female,2007,Chinstrap
Dream,331.100 ,310.700 ,473.000 ,4042.000 ,female,2007,Chinstrap
Dream,332.100 ,311.700 ,474.000 ,4043.000 ,male,2007,Chinstrap
Dream,333.100 ,312.700 ,475.000 ,4044.000 ,female,2007,Chinstrap
Dream,334.100 ,313.700 ,476.000 ,4045.000 ,male,2007,Chinstrap
Dream,335.100 ,314.700 ,477.000 ,4046.000 ,female,2007,Chinstrap
Dream,336.100 ,315.700 ,478.000 ,4047.000 ,male,2007,Chinstrap
Dream,337.100 ,316.700 ,479.000 ,4048.000 ,female,2007,Chinstrap
Dream,338.100 ,317.700 ,480.000 ,4049.000 ,male,2007,Chinstrap
Dream,339.100 ,318.700 ,481.000 ,4050.000 ,female,2008,Chinstrap
Dream,340.100 ,319.700 ,482.000 ,4051.000 ,male,2008,Chinstrap
Dream,341.100 ,320.700 ,483.000 ,4052.000 ,female,2008,Chinstrap
Dream,342.100 ,321.700 ,484.000 ,4053.000 ,male,2008,Chinstrap
Dream,343.100 ,322.700 ,485.000 ,4054.000 ,female,2008,Chinstrap
Dream,344.100 ,323.700 ,486.000 ,4055.000 ,male,2008,Chinstrap
Dream,345.100 ,324.700 ,487.000 ,4056.000 ,female,2008,Chinstrap
Dream,346.100 ,325.700 ,488.000 ,4057.000 ,male,2008,Chinstrap
Dream,347.100 ,326.700 ,489.000 ,4058.000 ,male,2008,Chinstrap
Dream,348.100 ,327.700 ,490.000 ,4059.000 ,female,2008,Chinstrap
Dream,349.100 ,328.700 ,491.000 ,4060.000 ,female,2008,Chinstrap
Dream,350.100 ,329.700 ,492.000 ,4061.000 ,male,2008,Chinstrap
Dream,351.100 ,330.700 ,493.000 ,4062.000 ,female,2008,Chinstrap
Dream,352.100 ,331.700 ,494.000 ,4063.000 ,male,2008,Chinstrap
Dream,353.100 ,332.700 ,495.000 ,4064.000 ,male,2008,Chinstrap
Dream,354.100 ,333.700 ,496.000 ,4065.000 ,female,2008,Chinstrap
Dream,355.100 ,334.700 ,497.000 ,4066.000 ,male,2008,Chinstrap
Dream,356.100 ,335.700 ,498.000 ,4067.000 ,female,2008,Chinstrap
Dream,357.100 ,336.700 ,499.000 ,4068.000 ,female,2009,Chinstrap
Dream,358.100 ,337.700 ,500.000 ,4069.000 ,male,2009,Chinstrap
Dream,359.100 ,338.700 ,501.000 ,4070.000 ,female,2009,Chinstrap
Dream,360.100 ,339.700 ,502.000 ,4071.000 ,male,2009,Chinstrap
Dream,361.100 ,340.700 ,503.000 ,4072.000 ,male,2009,Chinstrap
Dream,362.100 ,341.700 ,504.000 ,4073.000 ,female,2009,Chinstrap
Dream,363.100 ,342.700 ,505.000 ,4074.000 ,female,2009,Chinstrap
Dream,364.100 ,343.700 ,506.000 ,4075.000 ,male,2009,Chinstrap
Dream,365.100 ,344.700 ,507.000 ,4076.000 ,female,2009,Chinstrap
Dream,366.100 ,345.700 ,508.000 ,4077.000 ,male,2009,Chinstrap
Dream,367.100 ,346.700 ,509.000 ,4078.000 ,female,2009,Chinstrap
Dream,368.100 ,347.700 ,510.000 ,4079.000 ,male,2009,Chinstrap
Dream,369.100 ,348.700 ,511.000 ,4080.000 ,female,2009,Chinstrap
Dream,370.100 ,349.700 ,512.000 ,4081.000 ,male,2009,Chinstrap
Dream,371.100 ,350.700 ,513.000 ,4082.000 ,male,2009,Chinstrap
Dream,372.100 ,351.700 ,514.000 ,4083.000 ,female,2009,Chinstrap
Dream,373.100 ,352.700 ,515.000 ,4084.000 ,male,2009,Chinstrap
Dream,374.100 ,353.700 ,516.000 ,4085.000 ,female,2009,Chinstrap
Dream,375.100 ,354.700 ,517.000 ,4086.000 ,female,2009,Chinstrap
Dream,376.100 ,355.700 ,518.000 ,4087.000 ,male,2009,Chinstrap
